,종목명,현재가,전일대비,등락률
0,삼성전자,"71,000",상승 900,+1.28%
1,SK하이닉스,"287,000","상승 10,000",+3.61%
2,LG에너지솔루션,"347,000","상승 3,500",+1.02%
3,삼성바이오로직스,"1,036,000","상승 5,000",+0.48%
4,한화에어로스페이스,"946,000","하락 5,000",-0.53%
5,현대차,"220,000","상승 1,500",+0.69%
6,HD현대중공업,"501,000","하락 10,000",-1.96%
7,KB금융,"109,200","상승 2,500",+2.34%
8,기아,"105,600",상승 700,+0.67%
9,두산에너빌리티,"62,200","상승 1,300",+2.13%
10,셀트리온,"169,600",하락 400,-0.24%
11,NAVER,"232,500","상승 4,500",+1.97%
12,한화오션,"110,000",하락 900,-0.81%
13,신한지주,"65,500","상승 1,100",+1.71%
14,삼성생명,"158,100","상승 7,700",+5.12%
