,종목명,현재가,전일대비,등락률
0,이트론,5,하락 -5,-50.00%
1,이아이디,83,하락 -19,-18.63%
2,오아,"14,990","하락 -3,240",-17.77%
3,딥노이드,"4,890",하락 -840,-14.66%
4,압타머사이언스,"1,110",하락 -190,-14.62%
5,테고사이언스,"16,890","하락 -1,860",-9.92%
6,대양전기공업,"29,100","하락 -2,900",-9.06%
7,그린리소스,"10,700","하락 -1,050",-8.94%
8,STX엔진,"43,650","하락 -3,900",-8.20%
9,에프알텍,"2,520",하락 -215,-7.86%
10,디에이치엑스컴퍼니,921,하락 -77,-7.72%
11,HJ중공업,"26,950","하락 -2,250",-7.71%
12,동성화인텍,"31,500","하락 -2,550",-7.49%
13,PS일렉트로닉스,"5,110",하락 -410,-7.43%
14,고바이오랩,"6,180",하락 -470,-7.07%
